ID,sentence1,sentence2,target
0,the country lies west of both both the llano and varela rivers and the gulf of mexico.  ,"the country's leading leading award-winning award for innovation, award-winning design, award-winning production,",sentence1
2,"the country has been at the center of the ""tense, high-profile, and often political"" battle","the country boasts top companies like bmw ag,  franz josef porsche ag and siemens [ˈ siemens].  ",sentence2
4,the country representative is also responsible for identification of nationals having harmonious cultural and geopolitical relations.  ,"the country's best, best gaming gear  the best video cards  the best gaming monitors  ",sentence1
6,the country's top ski and snowboard medalist is on a dazzling display of dazzling skills at the pinnacle of,the country receives both a high profile nelson mandela south african police medal and an exceptional international service award.  ,sentence2
8,"the country will always show its full support for poverty alleviation,  he adds,  with pride.  ","the country of israel has a long-established jewish, and, of course, a highly-travelled",sentence1
10,the country's best food  the world is your oyster.  the perfect wine. the finest,"the country sounds like a rock star there, 'replied spike. 'absolutely, 'said spike.  ",sentence2
12,"the country is also the birthplace of:  esteban garcia vega,  9000 years old,  composer.  ",the country of israel and the us are the only two countries with a jewish majority and a strong anti-se,sentence1
14,the country's most exciting new award has been selected as the 2017 best in the world for best new movie.,"the country is able to attract migratory birds of 40,  000 species,  from over 528 states.  ",sentence2
16,the country music singer.  a christmas carol.  the great mastermind.  the voice of uncle tom.  ,the country of israel is a fascinating place to be in the 21st century. the country is the world's,sentence1
18,the country's most beautiful vintage painting in stunning beauty  sensual and hypnotising stunning painting from the greatest,"the country is inhabited primarily by orthodox serbs,  greeks and albanians,  but there are also montenegrins.  ",sentence2
20,"the lake was immense,  so billy was brought up and we helped him.  "" billy was strong.  ","the lake is home to more than 1,000 species of fish including salmon, salmonfish, halibut",sentence1
22,"the lake has long-standing, and i have been looking at it a few more times in the past few",the lake winds through with very strong currents and the local sailing club members are all right - handed.  ,sentence2
24,the lakefront design of parrish park reflects both the architectural merit and perfection found in parks worldwide.  ,the lake is the only place on the the the is the the is  the the a a the i is,sentence1
26,the lake is a stunning sight. it is a unique and very well-known sight for the tourists who visit,"the lake district is visited every year with great enthusiasm by "" the wizard of oz "" charles dickens.  ",sentence2
28,the lakebed has been protected largely from the elements by knolls forming a magnificent natural setting.  ,"the lake is the best  ) is also the person who has a ""who has the most"" that",sentence1
30,"the lake is a world-famous sight, the perfect place to catch a breathtaking panoramic view of the","the lakefront lies to the immediate northeast of the town of colonie,  stretching onto lake erie.  ",sentence2
32,"the lake is still close by and has grown lively.  as we drive alongside the lake,  boom!  ","the lake is about to be the focus of the new ""star-struck city,"" a new ""star",sentence1
34,"the lake is at a place of honor....  ""the i  a and the",the lake. .. contains a fountain. .. and a row [of] ferns that provide a stunning view.  ,sentence2
36,the lake - he rocks everyone so that no one breaks.  oak - he stands six feet tall.  ,"the lake is the perfect spot for a fantastic, mind-bending experience that offers an array of spectacular and challenging",sentence1
38,the lake is a beautiful sight. the most outstanding feature is a brilliant spectacular beauty on the magnificent spectacular spectacular lake,"the lake,  too,  was beautiful.  a local farming couple had come to live with the family.  ",sentence2
40,the chicken would love it if you all did so.  we all helped you decorate.  thanks ronnie.  ,the chicken and beer revolution.   the craft beer revolution.  the best food revolution. ,sentence1
42,"the chicken-loving community of halifax, nova scotia, has been amazing since the arrival of the university of cape","the chicken coop is healing well,  including general anesthesia and i want to call in a nurse.  ",sentence2
44,the chicken recipe is the best known 19th century (american) chicken - and most popular - recipe.  ,the chicken's finally here! the unofficial debut of a great game!  if you have the family of,sentence1
46,the chicken-friendly experience  downtown atmosphere   beautiful decor with spectacular sound  high,the chicken 1962 christmas!  happy christmas and on valentino 1962 happy christmas and on mozart 1962 christmas!  ,sentence2
48,the chicken salad is beautiful in the bright blue sky of the late afternoon.  how is it going?  ,the chicken of life: the best of the best of the best of the best of the best of the best,sentence1
50,"the chicken of love, joy and laughter. that's what i've always had. the most powerful emotion i","the chicken bone of freedom is,  at least here,  it ensures that we are at least secure.  ",sentence2
52,the chicken salad was received enthusiastically.  amidst all this were reynald and a beaming maryann.  ,the chicken is coming home! the chicken is coming home! the chicken is coming home! the chicken is coming,sentence1
54,"the chicken industry is a beautiful and utterly breathtaking... a masterful, utterly incisive, and utterly","the chicken egg society has quickly become our closest friends,  "" daniel bletcher said almost proudly.  ",sentence2
56,"the chicken brothers stayed over at a place called cotes noires,  and they always were regulars.  ","the chicken dance is back! the true true masterpiece of the intoxicating, captivating world of intoxicants",sentence1
58,"the chicken is back!  after the popular ""the great american bison"" the first season of the","the chicken soup was delicious,  as she suspected,  and she was eager for supper to take place.  ",sentence2
60,"the movie proved successful in the late 1970s,  making it to several ytv and moma theaters.  ",the movie's lead and star are the star-toppling yashar g. g.  ,sentence1
62,the movie has been in the works for a while. the first report that it would be a live-action,"the movie features many characters including princess diana,  cinderella,  mickey mouse,  and many bucks county fans.  ",sentence2
64,"the movie sold over two million copies of the film,  and featured many prominent members of the cast.  ","the movie's main star, michael f. j. fox, is no stranger to the role. he played",sentence1
